文本,文本1,文本2
,,
,,
,,
,,
    對人體有輕微毒性           關於毒性的進一步資訊    ,    對貓有毒   麝香百合所有部分對貓科動物都具有嚴重毒性；即使是貓鼻子上的一絲花粉也可能有毒，因此如果您的貓接觸到這種植物，請尋求獸醫的注意。 麝香百合含有大量毒素，即使少量食用也會導致肝或腎功能衰竭。早期症狀包括腹瀉、嘔吐、嗜睡、隱藏行為、食慾不振或排尿異常。    關於毒性的進一步資訊    ,
,,
,,
,,
,,
    對人體有輕微毒性        珊瑚珠所有部分在攝入時都是有毒的。然而，毒性最大的部分是漿果、根和葉。鳥類可能會毫無問題地吃掉漿果，但人類應該遠離。確切的毒素尚未確定。 珊瑚珠中毒的症狀包括口腔麻木以及口腔和胃部的溫暖感。其他症狀包括疲勞、口渴、嘔吐和腹瀉。這種植物可以安全觸摸和處理，但它的任何部分都不應該被吃掉。    關於毒性的進一步資訊    ,,
    對人體有高度毒性        從水果和SAP 珊瑚油桐吸入，會產生有害的副作用出現在兒童中尤其嚴重時有劇毒。中毒會導致胃腸道極度不適，包括嘔吐、腹瀉和噁心、攝入種子時口腔和喉嚨有灼燒感、急性脫水和腸胃炎。危重病例可能導致中樞神經系統和心血管系統衰竭。 珊瑚油桐通常作為觀賞植物種植，因此兒童常因食入而中毒。皮膚和植物汁液之間的直接接觸也可能導致皮炎。    關於毒性的進一步資訊    ,,
    對人體有高度毒性        因誤食果實或葉子而引起的珊瑚櫻植物的這些部分含有茄鹼、茄辣椒素和其他有毒生物鹼，如果食用它們會導致輕度至重度疾病。中毒症狀可能包括噁心、嘔吐、流涎、嗜睡、腹痛、虛弱、胃腸道紊亂、胃腸道系統潰瘍、癲癇發作、呼吸抑制和休克。 珊瑚櫻最有可能作為觀賞性室內植物遇到。如果這種植物在家里或花園裡，由於漿果顏色鮮豔，兒童可能特別容易中毒。    關於毒性的進一步資訊    ,    對狗有毒   珊瑚櫻植物對狗有中度至重度毒性；如果您認為您的狗攝入了這種植物的任何部分，請聯繫獸醫。雖然葉子有點有毒，但它的小果實是最大的危害，也最常被狗吃掉。在更輕微的情況下，攝入會導致簡單的胃腸道不適，通常伴有腹瀉、嘔吐和/或全身嗜睡。在更嚴重的情況下，可能會導致呼吸困難、抽搐以及循環和/或呼吸系統完全關閉。    關於毒性的進一步資訊    ,    對貓有毒   珊瑚櫻 （ Solanum pseudocapsicum ）可能會給貓帶來嚴重的疾病，因此不應將它們放在任何可以接觸到的地方。症狀的範圍可以從輕微的異常流口水和胃潰瘍到身體休克，應該認真對待。如果您懷疑您的貓吃過或玩過這種植物，請致電您的獸醫尋求醫療建議和治療，以防止進一步生病。    關於毒性的進一步資訊    
,,
    對人體有輕微毒性           關於毒性的進一步資訊    ,,
,,
    對人體有輕微毒性           關於毒性的進一步資訊    ,,
,,
    對人體有中度毒性        山月桂是常綠灌木，因其迷人的花朵而廣受珍視。植物的所有部分對人和動物都具有劇毒。    關於毒性的進一步資訊    ,    對狗有毒   山月桂可能會導致狗的輕度至重度反應，具體取決於食用量。這種植物的所有部分都有毒，但它相對柔軟的葉子和五顏六色的花朵最常被食用。中毒症狀包括食慾不振、流涎過多、肌肉痙攣、虛弱、腹瀉和嘔吐。在極端情況下，反應可能導致昏迷甚至致命。雖然山月桂誤食案例通常是輕微的，但不良反應的潛在嚴重性意味著如果您認為您的狗吃了這種植物，您應該立即打電話給獸醫。    關於毒性的進一步資訊    ,    對貓有毒   山月桂 （ Kalmia latifolia ）是一種常見的景觀植物，但貓應該遠離它們，因為攝入樹葉會導致心力衰竭甚至死亡！症狀可能始於虛弱和缺乏活動。 山月桂則應該非常認真地對待它們。請致電您的獸醫醫院以獲取進一步說明。    關於毒性的進一步資訊    
,,
    對人體有輕微毒性        與李屬的其他成員一樣， 山櫻花具有毒性，如果攝入會對人類造成傷害。症狀可能很嚴重，甚至可能導致死亡。植物的有毒部分是葉子、種子和細枝，它們都含有有毒的氰。症狀可能包括虛弱、呼吸急促、瞳孔放大、心率加快，最壞的情況是失去知覺和死亡。有些人在吃這種植物生產的受歡迎的水果時可能會不小心吞下種子。    關於毒性的進一步資訊    ,    對狗有毒   除了在這種植物種子周圍發現的成熟果肉外，其所有部分都含有氰化物，對狗有毒。中毒跡象包括呼吸困難、牙齦變成明亮的蘆葦、休克、瞳孔放大，甚至死亡。當它處於枯萎過程中時， 山櫻花 如果您認為您的狗有攝入這種植物的風險，請盡快諮詢您的獸醫。    關於毒性的進一步資訊    ,    對貓有毒   許多Prunus serrulata屬植物，包括杏、櫻桃和李子，都含有對貓有致命毒性的生氰化學物質；如果貓吃了其中一種植物的任何部分，則必須立即就醫。根據物種的不同，葉子、莖、種子、花蕾、核、果實和（或）漿果可能有毒。 山櫻花中毒的症狀包括牙齦發紅、流口水、嘔吐、瞳孔放大、呼吸困難、心跳加快、喘氣和休克。    關於毒性的進一步資訊    
,,
    對貓有毒   正如其名聲，這種植物對貓有劇毒，如果您的寵物攝入了這種植物，應立即就醫。 山煙草品種在其所有部分都帶有毒藥，而在其他品種中，它只有一部分，例如漿果。最常見的症狀是嚴重的胃腸道不適、腹瀉、意識模糊、流口水、食慾不振、虛弱、瞳孔放大和心率減慢。     ,,
,,
,,
    對人體有高度毒性        山馬茶是由它的白色小風車般的花朵所識別的，但是如果被切割或損壞，它可能對人和動物有毒。它的莖和葉釋放出乳白色乳膠，其中含有幾種有毒生物鹼。    關於毒性的進一步資訊    ,,
,,
,,
,,
,,
,,
,,
,,
,,
    對人體有輕微毒性        如果食用， 山大黃可誘發人體中毒症狀。這些症狀從中度到嚴重不等，可能會導致持久的傷害或死亡。毒性是由於葉子中發現的草酸鹽。食用葉子引起的中度症狀包括胃痛、嗜睡、噁心和嘔吐以及抽搐。肝臟和消化系統也可能受到損害，最壞的結果是死亡。一些覓食者在尋找可食用植物時可能會不小心吃掉大量葉子，而沒有意識到其中的危險。    關於毒性的進一步資訊    ,,
,,
,,
,,
,,
,,
,,
    對人體有高度毒性        沙漠曼陀羅花中毒最有可能發生在意外攝入。植物的所有部分都對人類有毒，包括樹皮、花、果實、莖、種子和根。吃沙漠曼陀羅花會導致重病。中毒症狀可能包括皮膚發熱、乾燥和潮紅；幻覺；瞳孔散大;頭痛;譫妄;脈搏快而微弱；抽搐;和昏迷。它經常在受干擾的土地或沙質土壤的路邊遇到。    關於毒性的進一步資訊    ,,
,,
,,
,,
    對人體有中度毒性        繖花虎眼萬年青包含食用後對人體有毒的有害化合物。然而，中毒的風險被認為是低的。鱗莖和花朵的生物鹼含量較高，因此毒性特別大。因繖花虎眼萬年青中毒可能會導致胃腸道問題，例如噁心、嘔吐、流口水和腹瀉，以及呼吸急促、口腔（包括嘴唇、舌頭和喉嚨）腫脹、疼痛和灼痛。與皮膚接觸也可能引起刺激。    關於毒性的進一步資訊    ,,
,,
    對狗有毒   三葉天南星對狗有輕微到嚴重的毒性，具體取決於攝入的植物量。植物的所有部分的汁液中都含有草酸鈣，一種強烈的刺激物。攝入通常會導致過度流口水和嘴唇、舌頭、嘴巴和/或喉嚨灼痛或腫脹。這些症狀通常伴有吞嚥困難和食慾下降。 三葉天南星甚至可能導致昏迷或死亡，但前提是大量食用 - 謝天謝地，由於這種植物對狗來說不是特別有吸引力或美味，這種情況很少發生。    關於毒性的進一步資訊    ,    對貓有毒   三葉天南星植物（ Arisaema triphyllum ）的所有部分都被認為對貓有劇毒。症狀範圍從口腔疼痛到潛在的呼吸困難。由於貓很小，即使少量的這種植物也會引起嚴重的疾病，懷疑食用後應立即尋求治療。    關於毒性的進一步資訊    ,
,,
    對貓有毒   藤蔓、花朵，尤其是三色牽牛種子對貓有中度到重度的毒性，可能需要就醫。少量攝入可能會導致類似於過敏反應的症狀。在更大的接觸中，症狀更嚴重，包括嘔吐、定向障礙、腹瀉、震顫和幻覺。     ,,
,,
,,
,,
,,
,,
,,
,,
    對人體有輕微毒性        銳葉牽牛植物部分如果攝入對人類有毒，儘管攝入不太可能導致死亡。 銳葉牽牛攝入的常見副作用是胃腸道不適、噁心、嘔吐和腹瀉，攝入種子可能導致視覺扭曲和煩躁不安。 銳葉牽牛也可能因接觸而引起皮膚刺激，因此在處理這種植物時最好戴上手套和長袖，然後徹底洗手。    關於毒性的進一步資訊    ,    對貓有毒   藤蔓、花朵，尤其是銳葉牽牛種子對貓有中度到重度的毒性，可能需要就醫。少量攝入可能會導致類似於過敏反應的症狀。在更大的接觸中，症狀更嚴重，包括嘔吐、定向障礙、腹瀉、震顫和幻覺。    關於毒性的進一步資訊    ,
    對人體有高度毒性        軟枝黃蟬所有部分都是有毒的，並且它還會因與樹液的身體接觸而引起輕微的皮膚刺激。如果大量食用或意外接觸植物，則最有可能發生中毒。 軟枝黃蟬而中毒的症狀包括發燒、嘴唇腫脹、口渴、噁心和腹瀉。與植物汁液接觸的症狀包括發生接觸的紅色、發癢和發炎的皮疹，或者如果與眼睛接觸會刺激眼睛。在溫帶氣候下，有時會遇到溫室植物或室內植物。    關於毒性的進一步資訊    ,,
,,
,,
    對狗有毒   幾乎所有柔弱酢漿草 Oxalis debilis屬的成員）都含有草酸鈣，根據攝入量的不同，草酸鈣對狗的毒性可能從輕度到重度不等。咀嚼植物的任何部分都會導致過度流涎、食慾不振、口腔或喉嚨周圍灼痛、吞嚥困難、腹瀉和嘔吐。在更極端的情況下，可能會發生震顫、腎功能衰竭甚至死亡——但是，這種情況很少見，因為大多數狗都無法度過第一次令人不快的咬傷。     ,,
,,
    對狗有毒   一種叫做無花果苷的多汁物質存在於榕樹所有部分，當它接觸狗的眼睛、嘴巴或皮膚或被攝入時，會引起中度的毒性反應。它會導致犬類嚴重不適，症狀包括過度流口水、爪子抓臉、皮膚刺激以及嘔吐和腹瀉。在所有情況下都建議去看獸醫。 榕樹是一種流行的室內植物，因此在用這種植物裝飾的房屋中要小心。     ,    對貓有毒   許多Ficus microcarpa屬的物種對貓有輕微到嚴重的毒性。有害毒素見於所有部位的榕樹 。如果攝入，它們通常會引起輕微的胃腸道紊亂，而與植物汁液的身體接觸會引起皮膚刺激，尤其是口腔周圍。在嘔吐或腹瀉嚴重的情況下，建議就醫以避免脫水並發症。     ,
,,
,,
,,
,,
,,
,,
,,
    對人體有輕微毒性        日本女貞具有毒性，如果攝入這種植物的某些部分，可能會傷害人類。症狀通常是溫和的，但在最壞的情況下可能會變得嚴重甚至導致死亡。不良影響是由果實和葉子中含有的有毒化合物引起的。這些化合物引起的症狀包括胃痛、頭痛、噁心、腹瀉、嘔吐、虛弱、低血壓和皮膚濕冷。作為花園和庭院中流行的觀賞植物，這些植物很容易被兒童觸及，他們可能會在沒有意識到潛在危險的情況下吞下植物的一部分。    關於毒性的進一步資訊    ,    對狗有毒   日本女貞對狗有中度毒性。它的漿果含有大部分有害物質，但葉子也大量有毒。症狀通常包括嘔吐、腹瀉和食慾不振，但如果狗攝入大量漿果和/或樹葉，它會加快心率並導致虛弱。雖然很少致命，但建議去看獸醫。    關於毒性的進一步資訊    ,    對貓有毒   日本女貞 （ Ligustrum japonicum ）植物的任何部分都需要獸醫護理。這種毒素可能會引起多種症狀，包括腸胃不適、拒絕進食、嘔吐和心率加快。因攝入而死亡的情況並非未知。    關於毒性的進一步資訊    
,,
,,
,,
,,
,,
,,
,,
    對人體有高度毒性        毬蘭被認為是輕度毒性的，因為它的乳膠汁液中含有有毒化學物質。葉子也被認為含有這些有毒化合物。攝入毬蘭可能只對一些易感個體產生毒性，毒性的嚴重程度取決於個體的體型和攝入量。還建議對乳膠過敏的任何人都應避免接觸這種植物，因為它可能會引起皮膚刺激。 毬蘭吸入時不被視為有毒。    關於毒性的進一步資訊    ,,
,,
,,
,,
,,
,,
,,
    對人體有輕微毒性           關於毒性的進一步資訊    ,,
,,
,,
,,
    對狗有毒   一種叫做無花果苷的多汁物質存在於琴葉榕所有部分，當它接觸狗的眼睛、嘴巴或皮膚或被攝入時，會引起中度的毒性反應。它會導致犬類嚴重不適，症狀包括過度流口水、爪子抓臉、皮膚刺激以及嘔吐和腹瀉。在所有情況下都建議去看獸醫。 琴葉榕是一種流行的室內植物，因此在用這種植物裝飾的房屋中要小心。     ,    對貓有毒   許多Ficus lyrata屬的物種對貓有輕微到嚴重的毒性。有害毒素見於所有部位的琴葉榕 。如果攝入，它們通常會引起輕微的胃腸道紊亂，而與植物汁液的身體接觸會引起皮膚刺激，尤其是口腔周圍。在嘔吐或腹瀉嚴重的情況下，建議就醫以避免脫水並發症。     ,
,,
,,
,,
    對狗有毒   喬木繡球對狗有輕微的毒性。它們的葉子、花朵和芽都含有有毒物質，在花朵和嫩葉中濃度最高。嘔吐和腹瀉是喬木繡球攝入的最常見症狀。值得慶幸的是，嚴重中毒的情況很少見——這種毒素必須大量攝入才能致命。    關於毒性的進一步資訊    ,    對貓有毒   喬木繡球 （ Hydrangea arborescens ）對貓有中度毒性。葉子和花的所有部分都含有毒素。如果食用足夠量，它們會導致噁心、腹瀉、嘔吐、呼吸困難、嗜睡和皮炎。小貓和小貓患嚴重疾病的風險最高。如果您的貓吃過這種植物的任何部分，請諮詢您的獸醫。    關於毒性的進一步資訊    ,
,,
,,
    對狗有毒   食用某些牽牛花 Ipomoea nil屬的成員）的種子會導致狗輕度至重度中毒。幾種有害生物鹼高度集中在種子中。輕度中毒的症狀包括嘔吐、腹瀉、意識模糊或失去協調能力。更嚴重的中毒可能導致幻覺、震顫或肝功能衰竭。 牽牛花中毒的情況下，有必要去看獸醫。     ,    對貓有毒   藤蔓、花朵，尤其是牽牛花種子對貓有中度到重度的毒性，可能需要就醫。少量攝入可能會導致類似於過敏反應的症狀。在更大的接觸中，症狀更嚴重，包括嘔吐、定向障礙、腹瀉、震顫和幻覺。     ,
    對狗有毒   Kalanchoe millotii屬的物種對狗有劇毒。如果您懷疑您的狗吃了任何數量的千兔耳植物，您應該立即尋求獸醫的注意。這些植物的所有部分都含有可能影響狗的心臟和神經系統的毒素，儘管花朵通常是毒性最大的。攝入會導致腹瀉、嘔吐、唾液分泌過多、食慾不振、協調性喪失和全身無力。更嚴重的病例可能會出現癲癇發作、心率異常、虛脫或死亡。     ,    對貓有毒   許多千兔耳 （ Kalanchoe millotii ）品種對貓有毒，懷疑食用時必須立即就醫。稱為蟾蜍二烯內酯的有害毒素存在於植物的所有部位，尤其是在花朵中。中毒的最初症狀是嘔吐、腹瀉、流口水、心率變化、虛弱和四肢發冷，但如果不及時治療，中毒會導致心臟驟停和死亡。     ,
,,
,,
    對人體有輕微毒性        千年芋的所有部分都含有草酸鈣晶體，過度處理時會撕裂敏感組織，引起皮疹，並在食用時對消化道造成嚴重破壞。效果有點像吃了砂紙，嘴巴、嘴唇、消化道，有時甚至是鼻竇都被破壞腫脹，有時甚至吞嚥困難甚至呼吸困難。攝入後，噁心、嘔吐、痙攣、絞痛和腹瀉會持續，直到植物被排出，系統才有機會恢復。將這種植物放在兒童和易受傷害的成年人接觸不到的地方，以防止發生意外。    關於毒性的進一步資訊    ,,
,,
,,
,,
    對人體有高度毒性        雖然是一種流行的室內植物，但麒麟花是劇毒，攝入任何部分都會引起中度毒性。它的汁液含有有害化學物質，如果不小心處理，可能會導致眼睛和皮膚刺激。與眼睛接觸可能會引起腫脹和腫脹，與皮膚接觸可能會導致皮炎。通過攝入中毒會引起口腔和喉嚨的刺激和起泡、嘔吐以及腹痛/胃痛。如果攝入汁液，可能會導致暫時失明。中毒最常發生在兒童身上，因為麒麟花花朵鮮豔誘人。    關於毒性的進一步資訊    ,,
,,
,,
,,
,,
,,
    對人體有輕微毒性        舖地錦竹草需要遠離小孩可以拿到的地方。它的汁液不僅會引起皮疹，而且植物中充滿了草酸鈣晶體。這些是非常鋒利的晶體，可以作為植物的防禦。如果食用，它們會損害和刺激粘膜，包括口腔內部、喉嚨和消化道。這有點像吃天然砂紙。再加上刺激性的汁液，就會導致口腔和喉嚨腫脹、噁心、胃痛、流口水、嘔吐、腹瀉，並可能導致吞嚥或呼吸困難。    關於毒性的進一步資訊    ,,
,,
    對貓有毒   Gladiolus communis屬的許多物種和栽培品種對貓有嚴重毒性，需要獸醫注意。 普通唐菖蒲所有部分在攝入時都是有毒的，但最高濃度的毒素位於燈泡中。中毒的最初症狀包括過度流涎、食慾不振、嘔吐、腹瀉和嗜睡。如果不及時治療，中毒會導致心臟、肝臟和腎臟問題。     ,,
,,
,,
,,
,,
,,
    對人體有輕微毒性        葡萄蔥在攝入時在技術上是有毒的，但症狀嚴重程度較低。植物的所有部分都有毒，大量攝入可能導致嘔吐、腹瀉和噁心。建議懷孕或哺乳期的人在考慮食用這種植物時要小心，因為目前尚不清楚其不良影響。有一些證據表明， 葡萄蔥可能會減緩血液凝固過程，因此如果您患有出血性疾病或在接受手術之前避免攝入。    關於毒性的進一步資訊    ,,
    對人體有高度毒性        當植物的任何部分被生吃（尤其是花）並且不小心處理時， 匍枝毛茛如果攝入植物的內汁，會導致口腔起泡。食用的其他副作用包括胃腸不適、膀胱和尿道刺激、心律不齊、頭暈、頭痛，在極端情況下，還會失去知覺。 匍枝毛茛可能會導致水泡和灼傷，並且可能會增加曬傷的風險。    關於毒性的進一步資訊    ,    對狗有毒   匍枝毛茛可能對狗有嚴重的毒性；如果您認為您的狗吃過或接觸過此類植物，您應該立即尋求獸醫的幫助。這些植物的所有部分都含有毛茛素，這種毒素在吞食時有毒，還會刺激皮膚，導致發紅或發癢。攝入症狀從過度流口水、嘔吐、腹瀉、虛弱和食慾不振到癱瘓、癲癇發作、黃疸、痙攣、虛脫，甚至死亡。    關於毒性的進一步資訊    ,    對貓有毒   匍枝毛茛的毒素對貓有輕度至中度毒性。這種毒素存在於植物的所有部分。中毒的典型症狀包括嘔吐、腹瀉、流口水過多、口腔腫脹、步態不穩和虛弱。幸運的是，這些症狀通常只會以較輕微的形式出現，因為植物令人不快的味道限制了貓的進食量。    關於毒性的進一步資訊    
,,
    對人體有高度毒性        匍根大戟食用有毒，還會刺激皮膚。赤腳海灘遊客特別容易接觸到樹液。皮膚會變得對陽光更敏感。刺激是另一個副作用，特別是如果液體進入眼睛。即使是乾燥的葉子和莖也可能含有微量的毒素。 匍根大戟具有致癌性。長期接觸會增加個人患某些類型癌症的風險。攝入植物的任何部分都會刺激消化道。汁液中的乳膠會導致噁心、腹瀉和嘔吐。    關於毒性的進一步資訊    ,,
    對人體有輕微毒性        匍匐雪松有漿果，如果攝入，可能對人類有輕微的毒性。儘管不像其他種類的杜松那樣有毒，但“漿果”（實際上是雌性錐果）如果大量食用，可能會導致胃部不適、嘔吐、腹瀉，在極端情況下還會導致腎臟問題。 匍匐雪松是一種在寒溫帶地區相當流行的常綠地被植物，其獨特的外觀使其很難被誤認為是可食用的植物。因此，因食入而導致匍匐雪松    關於毒性的進一步資訊    ,,
,,
    對人體有高度毒性        匍匐大戟可能是一個需要注意的危險。如果這種植物受到足夠的干擾而破裂並釋放出裡面含有刺激性酯類化學物質的乳狀乳膠，則會引起接觸性皮炎。當暴露在陽光下時，樹液會導致皮膚發紅、腫脹和起水泡，接觸後通常會有一些延遲。乳膠存在於植物的所有部分，包括莖、葉、根、花和種子。如果攝入，它還會產生噁心、嘔吐和腹瀉的症狀。    關於毒性的進一步資訊    ,,
,,
    對人體有輕微毒性           關於毒性的進一步資訊    ,,
,,
    對人體有輕微毒性        平枝栒子有漂亮的漿果，但除非你是一隻鳥，否則不要吃它們------尤其是未成熟的。如果吃了漿果，大多數動物都會中毒，包括人類。枸子含有氰苷，當它們與胃酸混合時會釋放出氰化物氣體。小劑量會引起噁心、嘔吐、腹瀉和嚴重絞痛。較大的劑量基本上會導致氰化物中毒，導致呼吸困難、面色蒼白、虛弱、抽搐、失去知覺甚至死亡等症狀。讓兒童和有認知障礙的人遠離這些植物，尤其是當漿果形成時。    關於毒性的進一步資訊    ,,
,,
,,
    對人體有輕微毒性        與皮膚直接接觸時， 啤酒花該植物可引起敏感人群的皮炎，有證據表明直接接觸會對 1/30 的人造成不良影響。 啤酒花已被證明會刺激手、臉、眼睛和腿。通常，接觸會導致皮疹，皮疹由小丘疹組成，然後破裂。這種植物的有毒成分仍然未知，但有許多化學原理被認為可能有害，特別是不穩定的精油葎草烯、月桂烯和法呢烯。如果您懷孕、患有抑鬱症或患有乳腺癌、子宮癌或宮頸癌，則應避免使用這種植物。    關於毒性的進一步資訊    ,,
,,
,,
,,
,,
,,
    對人體有輕微毒性        泡泡果是一種潛在的有毒植物，如果食用或接觸可能會引起中毒症狀。影響通常是輕微的，由水果、種子、皮膚和樹葉中存在的生物鹼引起。攝入這種植物的症狀包括腹痛和頭痛，而觸摸這種植物會導致皮膚刺激和發紅。覓食者在試圖吃可食用的水果時可能會不小心吞下有毒的種子和水果的皮。採摘或處理水果時最好戴上手套。    關於毒性的進一步資訊    ,,
,,
    對人體有輕微毒性        爬牆虎是許多在所有組織中都富含草酸鹽的植物之一，尤其是漿果。這些化學物質在整個植物中形成結晶針，撕裂口腔、喉嚨和消化道的粘膜。這會引起刺激和腫脹------有時劇烈腫脹會導致吞嚥困難甚至呼吸受阻。在消化道中，它會引起嚴重的胃痛、噁心、嘔吐和腹瀉。讓兒童遠離爬牆虎 ，尤其是漿果。    關於毒性的進一步資訊    ,,
,,
    對人體有高度毒性        歐洲銀蓮花是劇毒。它含有一種叫做原白頭翁素的化學物質，所以遠離這種物質是明智的。如果在新鮮時攝入植物的所有部分都是有毒的。然而，只有大量食用才能看到毒性作用。大量食用會導致口腔極度疼痛和刺激，以及嘔吐、腹瀉和腹痛等胃腸道問題。如果植物的汁液直接接觸皮膚， 歐洲銀蓮花這通常會導致起泡和發炎。    關於毒性的進一步資訊    ,,
    對人體有中度毒性        如果生食歐洲衛矛的所有部分都被認為是有毒的，尤其是水果。大量食用這種亮紫色和粉紅色的漿果可能會導致腹瀉、發冷、虛弱、嘔吐、抽搐和昏迷。 歐洲衛矛是一種流行的觀賞性園林樹，兒童特別容易食用漿果，因為它們具有明亮的糖果般的外觀。    關於毒性的進一步資訊    ,,
,,
    對人體有高度毒性        歐洲瑞香所有部分都含有毒素 mezerein 和 daphnin，如果攝入會造成重大傷害。漿果和樹枝構成的風險最大，因為它們含有最高濃度的有毒成分。食用這種植物可能會導致窒息感、嘴唇、舌頭和喉嚨腫脹、嘔吐、血性腹瀉、內出血、全身無力，甚至昏迷。 歐洲瑞香的葉子和樹枝觸摸起來也很痛，直接接觸會引起嚴重的皮膚刺激和水泡。由於這是一種常見的觀賞植物，好奇的孩子應該小心。    關於毒性的進一步資訊    ,,
    對人體有中度毒性        如果植物的任何部分（花、葉、根、莖）隨著時間的推移反复食用， 歐洲千里光中毒症狀可能包括嗜睡、嘔吐和肝功能衰竭的中樞神經症狀。在很長一段時間內，慢性攝入會導致不可逆的肝損傷。 歐洲千里光毒性如果被孕婦攝入，可能會導致出生缺陷，如果被母親食用，則會對母乳喂養的嬰兒構成風險。它還可以使患有肝病的人的疾病惡化。 歐洲千里光而中毒的風險也更高。    關於毒性的進一步資訊    ,    對貓有毒   歐洲千里光所有部分對貓都是有毒的，可導致輕度至中度疾病。攝入會導致輕微的胃腸道不適，如腹瀉、嘔吐和食慾不振，而僅僅咀嚼植物會導致口腔周圍的皮膚刺激、舌頭腫脹和嘴唇發炎。    關於毒性的進一步資訊    ,
    對人體有輕微毒性        歐洲七葉樹的每一部分都含有毒苷和皂苷，可導致人類嚴重疾病。食用大量這種植物會導致面部、口腔、舌頭和喉嚨發炎，嚴重到足以阻礙呼吸、失去協調、肌肉痙攣、煩躁不安、抑鬱、消化不良、絞痛、嘔吐、腹瀉、虛弱、癱瘓並且可能會昏迷。顯然，堅果有時會被人類誤烤和誤食，這是中毒的主要原因之一。另一種是小孩子變得好奇或將種子誤認為是可食用的堅果。兒童和認知障礙者都應遠離這種植物。    關於毒性的進一步資訊    ,    對狗有毒   歐洲七葉樹 （ Aesculus hippocastanum ）植物的每一部分對狗都有中度至重度毒性，並且可能是致命的。最高濃度的毒素存在於樹皮、種子和新葉/莖中。症狀的範圍從奇怪的行為到肌肉無力/震顫，一直到死亡。讓犬類遠離歐洲七葉樹樹，如果懷疑它們已經消耗了部分植物，可能需要去看獸醫！    關於毒性的進一步資訊    ,    對貓有毒   歐洲七葉樹含有對貓有劇毒的皂甙；攝入構成獸醫緊急情況。所有部分都是有害的，包括芽、堅果、幼苗、樹皮，甚至是由植物製成的蜂蜜。中毒症狀包括嘔吐、腹瀉、動作不協調、瞳孔放大、昏迷、癲癇發作和抽搐。    關於毒性的進一步資訊    
,,
    對人體有輕微毒性        歐洲女貞葉子和漿果富含皂苷和苷。它們不可食用，味道難聞，會對人類的消化道造成嚴重破壞。留意周圍的小孩和有認知障礙的人。症狀包括腹瀉、嘔吐、腸痛、絞痛、喉嚨痛和結腸痛，以及嚴重的噁心。這種腸胃炎一般會持續幾天。在人類中，它們通常只會造成痛苦。讓孩子遠離這種植物。    關於毒性的進一步資訊    ,    對狗有毒   歐洲女貞可能對狗有中度至重度毒性，具體取決於食用量。 歐洲女貞的葉子和漿果含有有害化合物，小劑量攝入可能會導致嘔吐、腹瀉和食慾不振。如果攝入大劑量，可能會出現更嚴重的症狀，例如心率升高和/或協調性降低。如果您的狗表現出任何這些症狀，您應該尋求獸醫的建議。    關於毒性的進一步資訊    ,    對貓有毒   歐洲女貞 （ Ligustrum vulgare ）的危險與貓攝入的量成正比。如果攝入大量，這種植物各部分中存在的糖苷可能會影響心跳，但虛弱和腹瀉是更常見的症狀。 歐洲女貞任何部分攝入超過一點點，強烈建議聯繫獸醫。    關於毒性的進一步資訊    
,,
    對人體有輕微毒性        歐洲鱗毛蕨在任何傳統意義上都沒有毒。它最令人不快的化學成分硫胺素酶對人類來說很麻煩，因為攝入足夠多的硫胺素酶會開始奪走體內的 B 族維生素。吃得夠多，你就會出現缺乏症，從而導致一系列健康問題。這些包括從抑鬱、偏執和疲勞到混亂、平衡問題、腹部絞痛、噁心、記憶力問題、皮疹、口腔損傷、免疫力下降和可能的貧血等一切。    關於毒性的進一步資訊    ,,
,,
,,
,,
    對人體有輕微毒性        歐洲冬青的葉子和漿果在攝入時對人類有毒。毒性輕微，中毒症狀可能包括嘔吐、腹瀉和抑鬱。接觸植物並可能意外攝入植物的兒童最有可能因歐洲冬青它通常用作觀賞樹籬植物。    關於毒性的進一步資訊    ,    對狗有毒   歐洲冬青被認為對狗有輕度至中度毒性。葉子和漿果都含有有毒化合物，攝入後可能會導致過度流口水、嘔吐、腹瀉或爪子等症狀。幸運的是，由於葉子有刺，漿果通常被這些葉子包圍，狗很少大量食用。 歐洲冬青中毒通常不需要去看獸醫——狗會自己處理植物的毒素。    關於毒性的進一步資訊    ,    對貓有毒   雖然不是致命的，但歐洲冬青 （ Ilex aquifolium ）的所有部分都具有中等毒性，應該遠離貓！如果植物的任何部分被吃掉，這些化學物質會產生類似於興奮劑的反應，並可能導致肝臟損傷，因此請致電您的獸醫以防萬一。根據攝入量的不同，症狀的範圍可以從輕度不適到中度疼痛。    關於毒性的進一步資訊    
,,
,,
    對人體有高度毒性        歐洲柏大戟含有一種乳白色的汁液，如果接觸它，會引起皮膚反應，如燒傷和水泡。成熟的苞片也有細小的倒刺，可以進入你的皮膚並在很長一段時間內引起刺激。如果您必須觸摸這種植物，請確保戴上手套，確保您的手臂被長袖覆蓋，並且不要用手套觸摸您皮膚的任何部分。根也有通便作用，如果大量食用會導致嚴重脫水。    關於毒性的進一步資訊    ,,
,,
,,
,,
    對人體有輕微毒性        歐鼠李有觀賞漿果，成人應避免使用，並放在兒童接觸不到的地方。這些漿果含有有毒的糖苷，會導致胃部不適、噁心、流口水、嘔吐、脹氣、痙攣和腹瀉。小孩子或吃得太多的人會出現更嚴重的症狀。通常這些症狀會在幾天后消失。    關於毒性的進一步資訊    ,,
